day,time,address,district,accident_types,suspect_vehicle,victim_vehicle,MD,LB,LR,lat,long
6,4,urip sumuharjo,panakkukang,2,4,4,-,-,1,-5.1348243,119.4316818
6,5,manuruki raya,tamalate,2,2,4,-,-,2,-5.1767173,119.4289629
4,22,urip sumuharjo,panakkukang,6,4,4,-,-,2,-5.1348243,119.4316818
0,22,malengkeri,tamalate,4,6,5,-,-,1,-5.1875239,119.4339559
3,13,veteran selatan,makassar,5,6,5,-,-,2,-5.1671547,119.419923
0,19,manunggal,tamalate,4,4,5,-,-,2,-5.1694219,119.4055125
2,17,sultan alauddin,tamalate,5,4,4,-,-,1,-5.1682367,119.4209823
2,17,boulevard,panakkukang,4,4,5,-,-,2,-5.1557546,119.4411023
0,23,manuruki raya,tamalate,4,4,5,-,-,2,-5.1767173,119.4289629
2,1,cendrawasih,mamajang,1,4,4,-,-,1,-5.167086,119.4118044
