"no","day","date","time","address","district","accident_types","suspect_age","victim_age","suspect_vehicle","victim_vehicle","MD","LB","LR","material_loss"
"552","Friday","2018-05-04","6:00","Urip Sumuharjo","Panakkukang","OC","47","55","R2","-","-","-","2","-"
"553","Friday","2018-05-04","19:00"," Dg. Mangga","Biringkanaya","OC","17","-","R2","-","-","-","1","-"
"554","Friday","2018-05-04","6:00"," Perintis Kemerdekaan","Tamalanrea","OC","25","25","R2","-","-","-","2","250,000"
"555","Saturday","2018-05-05","19:45"," Perintis Kemerdekaan","Tamalanrea","TL","-","45","R2","-","-","-","-","-"
"556","Sunday","2018-05-06","15:00"," Sam Ratulangi","Mamajang","TM","16","20","R2","-","-","-","3","150,000"
"557","Sunday","2018-05-06","15:15"," Boulevard","Panakkukang","TL","-","42","R4","R4","-","-","-","3,000,000"
"558","Saturday","2018-05-05","21:15","Urip Sumuharjo","Panakkukang","TL","-","21","R4","R2","-","-","1","200,000"
"559","Saturday","2018-05-05","17:30"," Poros Hartaco Indah","Tamalate","TK","22","14","R2","R2","-","-","3","500,000"
"560","Friday","2018-05-04","23:45"," Teuku Umar Raya","Tallo","TK","22","35","R2","R2","-","-","2","3,500,000"
"561","Monday","2018-05-07","20:30"," Adyaksa","Panakkukang","OC","24","-","R2","-","-","-","1","400,000"
"562","Saturday","2018-05-05","16:30"," Dr. Leimena","Panakkukang","TL","-","28","R2","R2","-","-","1","300,000"
"563","Sunday","2018-05-06","15:40"," Dr. Leimena","Panakkukang","TK","45","15","R4","R4","-","-","1","3,000,000"
"564","Thursday","2018-05-03","14:00","Urip Sumuharjo","Panakkukang","TL","-","40","R2","R2","-","-","1","100,000"
"565","Sunday","2018-05-06","16:30","Urip Sumuharjo","Panakkukang","OC","68","-","R2","-","-","-","1","100,000"
"566","Friday","2018-05-04","14:00","Urip Sumuharjo","Panakkukang","OC","21","20","R2","-","-","-","2","50,000"
"567","Saturday","2018-05-05","8:00"," Malengkeri","Tamalate","OC","21","-","R2","-","-","-","1","200,000"
"568","Monday","2018-05-07","19:35"," Masjid Baiturrahman","Panakkukang","TL","-","-","R4","R4","-","-","-","750,000"
"569","Sunday","2018-05-06","3:00"," Perintis Kemerdekaan","Tamalanrea","OC","20","-","R2","-","-","-","1","500,000"
"570","Monday","2018-05-07","6:00"," Kesatuan","Tamalanrea","TK","18","19","R2","R2","-","-","2","200,000"
"571","Sunday","2018-05-06","16:30"," Perintis Kemerdekaan","Tamalanrea","TL","-","33","R2","R2","-","-","2","200,000"
"572","Sunday","2018-05-06","9:00"," Paccerakkang","Biringkanaya","OC","20","-","R2","-","-","-","1","100,000"
"573","Monday","2018-05-07","19:00"," Perintis Kemerdekaan","Tamalanrea","TL","-","41","R2","R2","-","-","2","1,000,000"
"574","Monday","2018-05-07","9:30"," Serigala","Mamajang","T","43","-","R2","-","-","-","1","-"
"575","Tuesday","2018-05-08","18:15"," Gunung Bawakaraeng","Bontoala","TK","20","-","R2","R4","-","-","1","-"
"576","Wednesday","2018-05-09","12:30"," Baruga Raya","Manggala","TK","51","33","R4","R2","-","-","1","1,000,000"
"577","Thursday","2018-05-10","8:35"," Rajawali","Mariso","TL","-","17","R2","R2","-","-","2","200,000"
"578","Wednesday","2018-05-09","8:00","  Raya Kampus Unhas","Tamalanrea","TK","17","48","R2","R2","-","-","1","200,000"
"579","Monday","2018-05-07","6:30"," Insinyur Sutami","Biringkanaya","OC","48","49","R4","-","-","-","1","2,500,000"
"580","Wednesday","2018-05-09","16:00"," Tol reformasi","Tamalanrea","TK","23","30","R4","R4","-","-","5","50,000,000"
"581","Tuesday","2018-05-08","23:00"," Perintis Kemerdekaan","Tamalanrea","OC","23","-","R2","-","-","-","1","100,000"
"582","Saturday","2018-05-05","11:00"," Perintis Kemerdekaan","Tamalanrea","OC","51","55","R2","-","-","-","1","-"
"583","Sunday","2018-05-06","19:00"," Paccerakkang","Biringkanaya","OC","22","-","R2","-","-","-","1","-"
"584","Monday","2018-05-07","17:00"," Perintis Kemerdekaan","Tamalanrea","OC","22","-","R2","-","-","-","1","-"
"585","Thursday","2018-05-10","19:00"," Gn. Latimojong","Makassar","TL","-","17","R2","R2","-","-","2","1,500,000"
"586","Tuesday","2018-05-08","23:00"," Pendidikan","Rappocini","T","19","-","R2","-","-","-","1","200,000"
"587","Friday","2018-05-11","12:30"," Yusuf Dg. Ngawing","Rappocini","TL","-","44","R6","R4","-","-","-","1,700,000"
"588","Thursday","2018-05-10","23:45"," Gn. Latimojong","Makassar","TM","42","29","R2","-","-","-","1","100,000"
"589","Tuesday","2018-04-24","13:00"," Manuruki II","Tamalate","OC","12","-","R2","-","-","-","1","200,000"
"590","Thursday","2018-05-10","17:00"," Perintis Kemerdekaan","Biringkanaya","TK","41","35","R4","R4","-","-","-","3,000,000"
"591","Thursday","2018-04-12","20:00"," Perintis Kemerdekaan","Tamalanrea","OC","37","-","R2","-","-","-","1","-"
"592","Friday","2018-05-11","12:00"," Sungai Saddang Baru","Makassar","T","27","-","R2","-","-","-","1","100,000"
"593","Friday","2018-05-11","10:15"," Sunu","Bontoala","TL","-","31","R4","R4","-","-","-","700,000"
"594","Saturday","2018-05-12","0:30"," Perintis Kemerdekaan","Biringkanaya","TK","20","19","R2","R2","-","-","3","500,000"
"595","Saturday","2018-05-12","11:00"," Jenderal Ahmad Yani","Ujung Pandang","TK","18","57","R2","R2","-","-","1","-"
"596","Saturday","2018-05-12","7:00"," Gunung Bawakaraeng","Bontoala","TM","45","68","R2","-","1","-","1","100,000"
"597","Friday","2018-05-11","20:35"," Sunu","Tallo","TM","14","10","R2","-","-","-","1","-"
"598","Sunday","2018-05-13","7:00"," Veteran Selatan","Makassar","TK","49","-","R2","R4","-","-","1","200,000"
"599","Sunday","2018-05-13","6:45"," Pettarani","Rappocini","OC","18","18","R2","-","-","-","1","-"
"600","Saturday","2018-05-12","7:00"," Kumala","Tamalate","T","63","-","R2","-","-","-","1","100,000"
"601","Friday","2018-05-18","15:30"," Abdullah Daeng Sirua","Manggala","TM","64","65","B2","-","-","-","1","-"
"602","Saturday","2018-05-12","13:00"," Pettarani","Panakkukang","TK","16","15","R2","Rro","-","-","2","200,000"
"603","Sunday","2018-05-13","17:00"," Bakung","Biringkanaya","OC","51","-","R2","-","-","-","1","50,000"
"604","Wednesday","2018-05-09","9:00"," Veteran Selatan","Mamajang","TL","-","57","R4","R4","-","-","-","1,500,000"
"605","Tuesday","2018-05-15","3:00","Urip Sumuharjo","Panakkukang","OC","41","-","R2","-","-","-","1","100,000"
"606","Saturday","2018-05-12","10:30"," Rappocini Raya","Rappocini","TK","29","18","R2","R2","-","-","2","300,000"
"607","Tuesday","2018-05-15","22:00","Urip Sumuharjo","Panakkukang","TK","19","25","R4","R2","-","-","1","2,000,000"
"608","Tuesday","2018-05-15","23:30","Urip Sumuharjo","Panakkukang","TM","45","37","R4","R4","-","-","1","5,000,000"
"609","Tuesday","2018-05-15","16:00"," Borong Jambu Raya","Manggala","TL","-","65","R2","R2","-","-","1","100,000"
"610","Wednesday","2018-05-16","7:20"," Insinyur Sutami","Tallo","OC","46","-","R2","-","-","-","1","200,000"
"611","Thursday","2018-05-17","1:30"," Monginsidi Baru","Makassar","TK","16","36","R2","R2","-","-","3","1,500,000"
"612","Wednesday","2018-05-16","20:50"," Paccerakkang","Biringkanaya","TK","45","17","R2","R2","-","-","2","500,000"
"613","Thursday","2018-05-17","17:30"," Aroepala","Rappocini","OC","39","-","R2","-","-","-","1","50,000"
"614","Wednesday","2018-05-16","18:30"," Barawaja","Panakkukang","TK","54","12","R2","R2","-","-","4","300,000"
"615","Thursday","2018-05-17","16:30"," Cendrawasih","Mariso","TL","-","54","R2","R2","-","-","1","-"
"616","Wednesday","2018-05-16","20:30"," Waduk Tunggu Pampang","Manggala","TK","20","31","R4","R4","-","-","-","7,000,000"
"617","Wednesday","2018-05-16","14:00"," Perintis Kemerdekaan","Tamalanrea","TK","19","21","R2","R2","-","-","2","1,000,000"
"618","Thursday","2018-05-17","10:00"," Paccerakkang","Biringkanaya","OC","35","-","R2","-","-","-","1","-"
"619","Friday","2018-05-18","14:00"," Metro Tanjung Bunga","Tamalate","TK","48","15","R4","R2","-","-","1","2,500,000"
"620","Friday","2018-05-18","10:00"," Raya Pendidikan","Rappocini","TK","16","27","R2","R4","-","-","2","3,000,000"
"621","Wednesday","2018-02-14","18:00"," Anggrek Raya","Panakkukang","OC","71","61","R2","-","-","-","1","-"
"622","Saturday","2018-05-19","21:00"," Pongtiku","Bontoala","TK","54","57","R2","R2","-","-","1","500,000"
"623","Thursday","2018-05-10","6:00"," Tamalate I","Rappocini","TK","22","34","R2","R2","-","-","2","800,000"
"624","Friday","2018-05-18","7:00"," Perintis Kemerdekaan","Tamalanrea","TK","46","43","R2","R4","-","-","1","100,000"
"625","Sunday","2018-05-20","13:30"," Tol reformasi","Ujung Tanah","OC","32","-","R4","-","-","-","1","80,000,000"
"626","Saturday","2018-05-19","7:30"," Perintis Kemerdekaan","Tamalanrea","OC","25","66","R2","-","-","-","1","75,000"
"627","Saturday","2018-03-24","18:00","Poros Perumnas Sudiang","Biringkanaya","TK","23","22","R4","R2","-","-","1","-"
"628","Monday","2018-05-21","15:30"," Komp. IDI","Panakkukang","TK","22","33","R4","R4","-","-","-","1,000,000"
"629","Monday","2018-05-21","19:30"," Kumala","Tamalate","TK","20","31","R4","R2","-","-","3","500,000"
"630","Tuesday","2018-05-22","10:00"," Singa I","Mamajang","TM","45","10","R6","-","1","-","-","-"
