no,day,date,time,address,district,accident_types,suspect_age,victim_age,suspect_vehicle,victim_vehicle,MD,LB,LR,material_loss
1562,Sunday,2019-01-06,19:00, Gunung Merapi,Ujung Pandang,TL,-,65,R2,B2,1,-,1,"100,000"
1563,Sunday,2019-01-06,15:00, Borong Raya,Manggala,TM,10,11,R2,-,-,-,2,"300,000"
1564,Wednesday,2019-01-09,19:25, Perintis Kemerdekaan,Biringkanaya,TM,24,20,R2,-,-,-,1,-
1565,Wednesday,2019-01-09,11:30,Bersih Raya,Tallo,TM,35,11,R2,-,-,-,2,-
1566,Thursday,2019-01-10,10:00, Rappocini Raya,Rappocini,TL,-,49,R2,R2,-,-,1,"500,000"
1567,Wednesday,2019-01-09,20:55, Bandang ,Bontoala,TK,59,19,R2,R2,-,-,2,"500,000"
1568,Monday,2019-01-07,20:00, Seroja,Mariso,TK,56,7,B2,R2,-,-,1,-
1569,Thursday,2019-01-10,1:00, Muh. Tahir,Tamalate,TK,28,-,R2,R4,-,-,1,"500,000"
1570,Friday,2019-01-11,16:00,Urip Sumuharjo,Panakkukang,TK,21,49,R2,R2,-,-,4,"500,000"
1571,Thursday,2019-01-10,23:00, Andi Tonro,Tamalate,TM,17,52,R2,-,-,-,1,-
1572,Friday,2019-01-11,17:30, Metro Tanjung Bunga,Tamalate,TL,-,28,R2,R2,-,-,1,"200,000"
1573,Thursday,2019-01-10,7:00, Minasa Upa,Rappocini,TL,-,43,R2,R2,-,-,1,"50,000"
1574,Friday,2019-01-11,16:00, Nikel Raya,Rappocini,TL,-,13,R2,-,-,-,1,-
1575,Monday,2019-01-14,13:00, Perintis Kemerdekaan,Tamalanrea,TK,32,24,R4,R2,-,-,1,"500,000"
1576,Sunday,2019-01-13,15:30, Raya Telkomas,Biringkanaya,OC,14,-,R2,-,-,-,1,"100,000"
1577,Saturday,2019-01-12,13:15, Perintis Kemerdekaan,Tamalanrea,TL,-,54,R4,R4,-,-,-,"1,000,000"
1578,Monday,2019-01-14,5:15, Pettarani,Panakkukang,TL,-,38,R4,B2,-,-,2,"500,000"
1579,Sunday,2019-01-06,13:00, Perintis Kemerdekaan,Tamalanrea,TM,20,5,R2,-,-,-,1,"100,000"
1580,Monday,2019-01-14,8:30, Baji Gau,Tamalate,TL,-,20,R2,-,-,-,1,-
1581,Tuesday,2019-01-15,9:00, Muh. Tahir,Tamalate,TL,-,57,R2,-,-,-,1,-
1582,Monday,2019-01-14,8:00, Raya Baruga,Manggala,TK,25,29,R2,R2,-,-,2,"2,000,000"
1583,Tuesday,2019-01-15,23:30, Perintis Kemerdekaan,Biringkanaya,TK,24,42,R6,R4,-,-,-,"10,000,000"
1584,Tuesday,2019-01-15,1:15, Perintis Kemerdekaan,Tamalanrea,TL,-,-,R6,R2,-,-,1,"4,000,000"
1585,Tuesday,2019-01-15,13:30, Hj. Kalla,Panakkukang,TK,18,15,R2,R2,-,-,2,"500,000"
1586,Thursday,2019-01-17,4:00, Mallombassang,Tamalate,TK,40,33,R6,R2,1,-,-,"1,000,000"
1587,Friday,2019-01-11,22:30, Antang Raya,Manggala,TL,-,56,R2,R2,-,-,1,"200,000"
1588,Wednesday,2019-01-16,9:05, Veteran Utara,Makassar,TL,-,60,R4,R4,-,-,-,"1,000,000"
1589,Thursday,2019-01-17,17:30, Minasa Upa,Rappocini,OC,68,-,R2,-,-,-,1,"100,000"
1590,Wednesday,2019-01-16,10:28, AMD,Manggala,TK,30,-,R2,R4,-,-,1,"2,000,000"
1591,Friday,2019-01-18,20:20, Letjen Hertasning,Rappocini,TK,23,20,R2,-,-,-,1,"100,000"
1592,Friday,2019-01-18,20:00, Kapasa Raya,Biringkanaya,TK,22,45,R2,R2,-,-,2,"300,000"
1593,Thursday,2019-01-17,16:00, Satelit Raya,Biringkanaya,TK,38,53,R2,R4,-,-,1,"200,000"
1594,Saturday,2019-01-19,20:15, Sam Ratulangi,Mamajang,TK,45,19,R2,R4,-,-,2,"500,000"
1595,Wednesday,2019-01-16,12:58, Daeng Ramang,Biringkanaya,TK,30,26,R2,R4,-,-,-,"3,000,000"
1596,Sunday,2019-01-20,21:30, Perintis Kemerdekaan,Tamalanrea,TK,20,28,R2,R4,-,-,1,"500,000"
1597,Saturday,2019-01-19,19:00, Perintis Kemerdekaan,Biringkanaya,TK,14,37,R2,R2,-,-,2,"400,000"
1598,Sunday,2019-01-20,8:15, Sungai Saddang,Ujung Pandang,TK,30,26,R2,R4,-,-,1,"1,000,000"
1599,Tuesday,2019-01-22,15:00, Insinyur Sutami,Tamalanrea,TL,16,22,R2,R2,-,-,2,"250,000"
1600,Wednesday,2019-01-23,10:00, Perintis Kemerdekaan,Tamalanrea,TK,49,24,R2,R2,-,-,2,-
1601,Wednesday,2019-01-23,10:00, Perintis Kemerdekaan,Tamalanrea,TL,-,39,R4,R4,-,-,-,"500,000"
1602,Wednesday,2019-01-23,14:00,Urip Sumuharjo,Panakkukang,TM,18,58,R2,-,-,-,2,"200,000"
