day,time,address,district,accident_types,suspect_vehicle,victim_vehicle,lat,long
Thursday,Afternoon,insinyur sutami,biringkanaya,TK,R4,TR,-5.0762253,119.515201
Sunday,Night,gn. latimojong,makassar,TK,R2,R4,-5.1342049,119.4196956
Friday,Afternoon,amanagapa,ujung pandang,TK,R4,R2,-5.1375303,119.4096708
Saturday,Afternoon,metro tanjung bunga,tamalate,TL,R4,R2,-5.1661576,119.3917443
Sunday,Afternoon,cendrawasih,mamajang,OC,R2,NOV,-5.167086,119.4118044
Monday,Morning,andi tonro,tamalate,TM,R2,NOV,-5.1719829,119.423857
Wednesday,Evening,perintis kemerdekaan,tamalanrea,TK,R2,R4,-5.1402715,119.48329437389705
Tuesday,Night,paccerakkang,biringkanaya,TL,R2,R2,-5.1239434,119.5224673
Saturday,Night,tamangapa raya,manggala,TK,R2,R2,-5.1767373,119.4843844
Sunday,Evening,urip sumuharjo,panakkukang,OC,R2,NOV,-5.1348243,119.4316818
Sunday,Afternoon,pettarani,rappocini,TL,R4,R2,-5.1510383,119.4374766
Monday,Morning,profesor abdurrahman basalamah,panakkukang,OC,R2,NOV,-5.1471505,119.4492661
Sunday,Evening,insinyur sutami,biringkanaya,TK,R4,R4,-5.0762253,119.515201
Saturday,Evening,tamalanrea raya,tamalanrea,OC,R2,NOV,-5.1358197,119.5070307
Tuesday,Afternoon,lasuloro,manggala,TL,R4,NOV,-5.1700155,119.4881657
Monday,Evening,urip sumuharjo,panakkukang,TL,R2,R2,-5.1348243,119.4316818
Monday,Evening,tamangapa raya,manggala,TK,R2,R2,-5.1767373,119.4843844
Thursday,Night,pajukukang,tamalate,TL,R2,R2,-5.2019757,119.3874662
Wednesday,Morning,metro tanjung bunga,mariso,TL,R2,R2,-5.1523252,119.4054678
Monday,Evening,gagak,mariso,TL,R2,NOV,-5.1607133,119.4106525
Wednesday,Afternoon,pettarani,rappocini,TK,TR,R2,-5.1510383,119.4374766
Thursday,Afternoon,pettarani,rappocini,TL,R2,R2,-5.1510383,119.4374766
Wednesday,Morning,metro tanjung bunga,tamalate,TL,R2,R2,-5.1661576,119.3917443
Thursday,Evening,kakatua ii,mariso,TK,R2,R2,-5.1615534,119.4153491
Tuesday,Afternoon,kapasa raya,tamalanrea,OC,R2,NOV,-5.1029771,119.4940907
Wednesday,Afternoon,perintis kemerdekaan,tamalanrea,OC,R2,NOV,-5.1402715,119.48329437389705
Friday,Morning,perintis kemerdekaan,biringkanaya,TK,R2,R4,-5.117784,119.5110136
Friday,Afternoon,urip sumuharjo,panakkukang,TL,R2,NOV,-5.1348243,119.4316818
Thursday,Afternoon,gotong royong,panakkukang,TL,R2,R2,-5.1444485,119.4368793
Thursday,Morning,abdullah daeng sirua,manggala,OC,R2,NOV,-5.1502262,119.4624701
Thursday,Night,andalas,bontoala,TK,R2,B2,-5.1225458,119.417918
Saturday,Morning,sultan alauddin,tamalate,OC,R2,NOV,-5.1682367,119.4209823
Friday,Morning,sultan alauddin,tamalate,TL,R2,R2,-5.1682367,119.4209823
Saturday,Afternoon,cendrawasih,mamajang,TK,R2,R2,-5.167086,119.4118044
Sunday,Morning,pettarani,rappocini,OC,R4,NOV,-5.1510383,119.4374766
Thursday,Morning,insinyur sutami,biringkanaya,TK,R4,R4,-5.0762253,119.515201
Sunday,Morning,batara bira,biringkanaya,TK,B,B,-5.0884975,119.5063692
Sunday,Afternoon,perintis kemerdekaan,tamalanrea,OC,R2,NOV,-5.1402715,119.48329437389705
Friday,Evening,perintis kemerdekaan,tamalanrea,TL,R2,R2,-5.1402715,119.48329437389705
Sunday,Morning,kerung-kerung,makassar,TL,R4,R4,-5.1402349,119.4257622
Monday,Afternoon,pampang raya,panakkukang,TK,R2,NOV,-5.136431,119.443415
Saturday,Night,sultan alauddin,rappocini,OC,R2,NOV,-5.176566,119.4363938
Saturday,Evening,pettarani,panakkukang,TL,R2,R2,-5.1487126,119.4380057
Sunday,Morning,banta bantaeng,rappocini,TL,R4,R2,-5.1595024,119.4238876
Tuesday,Afternoon,metro tanjung bunga,tamalate,OC,R4,NOV,-5.1661576,119.3917443
Monday,Morning,pannampu,tallo,TM,R2,NOV,-5.1184614,119.4264568
Tuesday,Afternoon,sultan hasanuddin,ujung pandang,TL,R4,R2,-5.1444747,119.4127353
Tuesday,Morning,sultan hasanuddin,ujung pandang,TM,R4,NOV,-5.1444747,119.4127353
Tuesday,Afternoon,toddopuli,panakkukang,TK,R2,R2,-5.1626055,119.4476516
Monday,Morning,cendrawasih,mariso,TL,R2,R2,-5.155219,119.4137008
Tuesday,Evening,mesjid muhajirin,panakkukang,TL,R2,R2,-5.1395135,119.4344078
Thursday,Night,veteran selatan,mamajang,TK,R4,R4,-5.162773,119.4212589
Thursday,Afternoon,perintis kemerdekaan,biringkanaya,TK,R2,R4,-5.117784,119.5110136
Wednesday,Afternoon,insinyur sutami,biringkanaya,T,R2,NOV,-5.0762253,119.515201
Thursday,Morning,kapasa raya,biringkanaya,T,R2,NOV,-5.0945064,119.4925577
Thursday,Afternoon,daeng tata raya,tamalate,T,R2,NOV,-5.1850019,119.423432
Tuesday,Afternoon,raya kampus unhas,tamalanrea,TK,R2,R2,-5.1377601,119.4886605
Friday,Morning,metro tanjung bunga,tamalate,TK,R3,R4,-5.1661576,119.3917443
Friday,Evening,pettarani,rappocini,TK,R2,R2,-5.1510383,119.4374766
Friday,Night,urip sumuharjo,panakkukang,TK,R4,R4,-5.1348243,119.4316818
Saturday,Night,gunung bawakaraeng,bontoala,TL,R2,NOV,-5.1348657,119.4243319
Saturday,Night,gunung bawakaraeng,bontoala,TK,R2,R4,-5.1348657,119.4243319
Thursday,Evening,kima iii,biringkanaya,T,R2,NOV,-5.1064167,119.5065503
Friday,Night,metro tanjung bunga,tamalate,T,R2,NOV,-5.1661576,119.3917443
Sunday,Night,urip sumuharjo,panakkukang,TK,R4,R2,-5.1348243,119.4316818
Saturday,Morning,perintis kemerdekaan,tamalanrea,OC,R2,NOV,-5.1402715,119.48329437389705
Friday,Morning,andi mappaodang,tamalate,OC,R2,NOV,-5.1732205,119.4158686
